Product Name,Rating,Processor,Storage,Warranty,Price
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L...,4.1,AMD Ryzen 3 Quad Core Processor,512 GB SSD,1 Year Carry-in Warranty,"₹29,990"
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,4,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,1 Year Onsite Warranty,"₹18,990"
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,3.9,MediaTek Kompanio 520 Processor,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,"₹10,999"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,Intel Celeron Dual Core Processor,256 GB SSD,1 Year Warranty,"₹15,990"
DELL MSO'2024 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and ...,4.1,Intel Core i3 Processor (13th Gen),512 GB SSD,1 Year Onsite Hardware Service,"₹34,990"
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,3.7,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,1 Year Onsite Warranty,"₹16,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,Intel Celeron Dual Core Processor,128 GB SSD,1 Year Warranty,"₹14,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,Intel Celeron Dual Core Processor,512 GB SSD,1 Year Warranty,"₹17,990"
Lenovo V14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop,4.1,Intel Core i7 Processor (12th Gen),512 GB SSD,1 Year brand Onsite Warranty,"₹45,999"
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,4.2,Intel Core i5 Processor (13th Gen),512 GB SSD,1 Year Onsite Warranty,"₹43,490"
Acer Predator Helios Neo 14 Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NV...,No Rating,Intel Core Ultra 7 Processor,1 TB SSD,1 Year Carry-in Warranty,"₹1,39,990"
HP MSO 2024 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) fd0467TU Thin and Light ...,4.1,Intel Core i5 Processor (13th Gen),512 GB SSD,1 Year Carry-in Warranty,"₹56,990"
"ASUS Vivobook S15, A-Part Metal Body, Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Hom...",4.5,Intel Core i9 Processor (13th Gen),512 GB SSD,1 Year Onsite Warranty,"₹75,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,Intel Core i5 Processor (12th Gen),512 GB SSD,1 Year Onsite Warranty,"₹44,990"
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light...,4.2,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,1 Year Onsite Warranty,"₹37,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,4.2,Intel Core i5 Processor (12th Gen),512 GB SSD,1 Yr. Onsite,"₹41,990"
HP OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,4.2,Intel Core Ultra 7 Processor,1 TB SSD,1 Year Onsite Warranty,"₹1,19,990"
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,4.2,Intel Core i5 Processor (13th Gen),512 GB SSD,1 Year Carry-in Warranty,"₹95,746"
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,4.5,Intel Core i5 Processor (13th Gen),512 GB SSD,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"₹57,990"
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,4.1,Intel Core i5 Processor (12th Gen),512 GB SSD,1 Year Carry-in Warranty,"₹45,990"
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop,4,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,1 Year Onsite Warranty,"₹20,990"
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,3.7,Intel Celeron Dual Core Processor (11th Gen),256 GB SSD,1 Year Onsite Warranty,"₹18,990"
ASUS Expertbook P1 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611W...,4.3,Intel Core i5 Processor (13th Gen),512 GB SSD,1 Year Onsite Warranty,"₹52,990"
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,4,Intel Celeron Dual Core Processor,512 GB SSD,1 Year Carry-in Warranty,"₹22,990"
